question,answer
What kind of AI does Sikka.ai Insights utilize?,"Sikka.ai Insights utilizes sophisticated AI that allows for clinical notes to be parsed, identifying the use of specific products.
"
How can Insight customers use the data provided by Sikka.ai Insights?,Insight customers can use the data that encompasses over 136 million oral health patients and 38 million pets to determine how many instances of a product were identified and how much revenue was created by that product.
Who should I contact to learn more about Sikka.ai and Markets?,Gerry Mintz
What is Gerry Mintz's role at Sikka.ai?,"Sikka.ai Insights Markets
"
What is Gerry Mintz's direct phone number?,(408) 906-8434
What does Sikka.ai aim to do with their solutions?,Sikka.ai aims to streamline and optimize business processes to allow for focus on managing practices and providing patients with the best care.
Who should you contact to learn more about Sikka.ai and revenue cycle management?,"To learn more about Sikka.ai and revenue cycle management, you should contact Jennifer Scarberry, Business Leader of Payments & Veterinary  at jennifer.scarberry@Sikka.ai or Direct (408) 600-0370."
What is Jennifer Scarberry's experience in Animal Health?,"Jennifer Scarberry has over 25 years of experience in the Animal Health market, including roles such as CEO & Founder, Director of Sales, National Sales Trainer and Regional Manager. She has expertise in various areas such as Pet Food, Pharma, Distribution, Diagnostics, Home Delivery, Flea/Tick, Private Label, OTC, E-Commerce, Data/SaaS and more."
Who should you reach out to for more information about Sikka.ai and life insurance underwriting?,"To learn more about Sikka.ai and life insurance underwriting, you should reach out to Lewis Goldman, leader of our Sikka.ai Insights â€“ Insurance business, at lewis.goldman@Sikka.ai."
What is Lewis Goldman's experience in insurance and financial services?,"Lewis Goldman has over 20 years of experience in insurance and financial services  including serving as executive of LendKey Technologies  head of marketing and product for Global Life Distribution and the MetLife direct to consumer life insurance business. He brings a track record of success nurturing and scaling businesses through marketing,new products,new channels of distribution,partnerships,and cross-sell at companies where he worked including Citigroup  LinkedIn,1800flowers.com,Amazon,New York Life,and several FinTech and InsurTech startups."
What is Sikka.ai Insights?,"Sikka.ai Insights is a data collection platform that gathers real-time de-identified data from dental, veterinary, and optometry health care providers to track trends at local  state, regional or national levels."
What are the uses of Sikka.ai Insights?,"Sikka.ai Insights is used to increase customer retention, predict sales trends, find new customers, improve customer service, increase profits, manage target marketing campaigns, and provide solutions for payments."
How many opt-in dental practices and veterinary practices are reported in the U.S. and Canada by Sikka.ai Insights?,"Sikka.ai Insights has over 28,000 opt-in dental practices and 1,600 veterinary practices in the U.S. and Canada who report daily.
"
What is Sikka.ai Insights & Life Insurance?,"Sikka.ai Insights & Life Insurance is the combination of machine learning, sophisticated AI, and data science to create proprietary Sikka.ai Health Indicators and LECA (Life Expectancy at Current Age) Health Risk Score, which help insurance companies deliver real-time decisions in underwriting policies and population modeling."
What are the economic indicators provided by Sikka.ai Insights?,Sikka.ai Insights found a high correlation between certain practice data points and economic performance. The Economic Indicators show the correlation between dental performance and the economy.
What is the Industry Trends page on Sikka.ai Insights?,Sikka.ai Insights has created an interactive heat map to display the growth in production by state as practices begin to experience a rebound. The Industry Trends page allows users to experience the data themselves.
What is the significance of Sikka.ai's opt-in consent-based data?,"Sikka.ai's opt-in, consent-based data has been validated with over 9 million life insurance customers across 18 retrospective studies. Major carriers, InsurTech companies, top Reinsurers, and leading data providers have all tested Sikka.ai's health indicators and LECA Score."
Why choose Sikka.ai Insights for life insurance companies?,"With over 50% share of oral care patient data, Sikka.ai Insights is well-positioned to be the premier provider of this opt-in, consent-based data to the life insurance industry. No other source can provide the same breadth and depth of opt-in oral care data. Sikka.ai Insights provides more accurate individual mortality estimates, consistency in underwriting practices, and improved fraud detection, among other benefits."
What is Sikka.ai Insights?,"Sikka.ai Insights collects up-to-the-minute, consent-based, deidentified data from dental, veterinary, and optometry health care providers  which utilizes our single API to seamlessly connect with Practice Management Systems. Practice-level data is aggregated to track trends at local, state, regional or national levels to drive actionable yet insightful decisions.
"
What industries is Sikka.ai rethinking?,"Sikka.ai is rethinking the retail healthcare, life insurance and markets industries.
"
What does the Sikka.ai platform connect to?,The Sikka.ai API Platform connects to 96% of the retail healthcare market and all practice management systems and financial systems practices use.
How many practice installations does Sikka.ai have on its platform?,Sikka.ai Software now has 35K+ practice installations on its platform.
What is the purpose of the Industry Trends website created by Sikka.ai?,"The Industry Trends website created by Sikka.ai can be accessed to see week-over-week performance of practices and track the correlation between certain practice data points and economic performance, including predicting future inflation indicators.
"
Who is the founder and CEO of Sikka.ai?,Vijay Sikka
What is Vijay Sikka's professional background?,"He has worked in Artificial Intelligence and decision systems for more than 25 years with large scale projects at Intel Corporation  National Institutes of Health, Glaxo Smith Kline, Roche and UCSF affiliates."
What are some conferences where Vijay Sikka has spoken at as an invited keynote speaker?,"Digital Health World Conferences in 2019 and 2020, AI Global Forum 2020 and Biohacking Congress in London in 2020.
"
Who is the Chief Financial Officer of Sikka.ai Software Corporation?,Jasprit Sandhu
What is Jasprit Sandhu's professional background?,"He has over 20 years of experience building global teams, leading capital raising, driving growth and finance operations from inception through IPO  as well as leading financial and strategic exits."
Who is the General Counsel & Head of Corporate Development of Sikka.ai Software Corporation?,Kelly Slavitt
What is Kelly Slavitt's professional background?,"She has over 20 years of experience working as a strategic partner to proactively drive growth using the law, managing risk, ensuring regulatory compliance, driving M&A transactions, and scaling up or down as needed by the business."
Who is the Vice President of HR at Sikka.ai Software Corporation?,Sally Takemoto
What is Sally Takemoto's professional background?,"She has worked as VP of Human Resources for Network General Corporation and Proxim, Inc. and held management positions at Vitalink Communications Corporation and NCR.
"
Who is the Vice President of Customer Success at Sikka.ai Software Corporation?,Michael Bingham
What is Michael Bingham's professional background?,"He has more than 20 years of extensive experience in customer success leadership, having worked in the tech space with the likes of Toshiba, Canon, Dell and DTS."
What is ONE API?,ONE API is a unified API platform provided by Sikka.ai API Platform which allows developers to build secure apps for over 90% of the dental  veterinary  physician  chiropractic and optometry industries.
What are the benefits of using ONE API?,"The benefits of using ONE API include a unified data model, a single set of API endpoints, and a unified Marketplace flow to onboard practices. It supports 400+ practice management software integrations across various industries, allows control over individual data points for more efficient app performance  and provides Payment Write Back API and Patient360 API for claims and payment automation and access to consent-based patient data in one request, respectively."
What is the Sikka.ai Marketplace?,The Sikka.ai Marketplace is a platform where developers can onboard new practices and register them for the Sikka.ai Platform Utility download.
What is the Sikka.ai Platform Utility?,"The Sikka.ai Platform Utility is a software that needs to be downloaded and installed on the practice server. After installation, the data is made available via ONE API.
"
What industries does Sikka.ai API work with?,"Sikka.ai API works with approximately 90% of the markets for dental, veterinary, optometry, chiropractic, orthodontics, oral surgery, and others in the U.S., Canada, Australia, and New Zealand.
"
What is Practice Query Language API?,Practice Query Language API is an API provided by Sikka.ai API Platform that allows developers to control individual data points they want to display in their apps for more efficient performance.
What is Payment Write Back API?,"Payment Write Back API is an API provided by Sikka.ai API Platform that provides information on appointment status, payment, new appointment, new patients, notes, claim notes, status  insurance status, and lab results for claims and payment automation.
"
What is Patient360 API?,"Patient360 API is an API provided by Sikka.ai API Platform that allows developers to access consent-based patient's demographic, appointments, transactions, insurance details  treatment plans, and many other information sets of dental records from multiple practice management systems in a single API request."
What award has Sikka.ai ONE API won?,"Sikka.ai ONE API has won the 2022 Best in Health APIs Award, presented by API World.
"
What is the announcement?,Dental data is being used in underwriting for the first time on ExamOneâ€™s HealthPiQture Platform
Who made the announcement?,Sikka.ai
What is Sikka.ai?,A provider of oral healthcare indicators (OHI) and mortality scores to life insurance companies for underwriting
What is ExamOne?,A company that offers comprehensive risk assessment solutions to the life insurance industry
What is OHIs?,Oral healthcare indicators
How many patients are on Sikka.ai's platform?,Over 130 million patients in the US and Canada
What are the available flags for OHIs?,"Flags for tobacco use, cancer, hypertension, cardiovascular disease, hyperlipidemia, liver disease, diabetes, kidney disease, blood disorders, and marijuana use
"
How are OHIs delivered?,Delivered in real time through ExamOne's HealthPiQture platform with applicant consent
What are the benefits of using OHI?,"Accelerated underwriting, post-issue review, and automated underwriting
"
What is an example of OHI being used by a carrier?,"One carrier found an applicant's cardiovascular condition which wasn't apparent from other data sources, improving their decision process
"
Who is John Reynolds?,"SVP  Commercial & Business Development at ExamOne
"
What is Sikka.ai's business?,"Optimizing the business of healthcare, payments, and life insurance
"
What are some indicators for accelerated underwriting provided by Sikka.ai?,Life Expectancy at Current Age (tm) and Periodontal Disease to Mortality (tm) scores
How many practice installations does Sikka.ai have in the US and Canada?,"Over 35 000 practice installations
"
Who made the chatbot at Sikka.ai?,Shashiraj Walsetwar
What is the purpose of the chatbot at Sikka.ai?,To answer questions related to Sikka.ai and its products
What is Shashiraj Walsetwar's role at Sikka.ai?,Full Stack developer Intern
Where did Shashiraj Walsetwar earn his Masters degree in Computer Science?,"California State University  East Bay.
"
What are Sikka.ai Health Indicators?,Sikka.ai Health Indicators are 10 indicators derived from more than 139 million unique records that can be used to identify health risks among insurance applicants related to oral healthcare data.
